127.0.0.1 - - [03/Apr/2024:09:10:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:56 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:56 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13438
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:14:56 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:12 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13353
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:12 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:13 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13353
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:13 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:14 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13352
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:14 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:14 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13352
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:14 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:14 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13353
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:14 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:15 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13353
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:15 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:18 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13352
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:18 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:19 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13353
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:19 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:19 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13352
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:19 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:19 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13353
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:19 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:20 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13352
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:20 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:20 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13351
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:20 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:38 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13367
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:15:38 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:07 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13370
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:07 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:19 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13371
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:19 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:20 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13370
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:20 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:20 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13371
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:20 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:21 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13371
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:21 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:23 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13371
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:23 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:24 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13371
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:24 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:30 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13369
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:30 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:41 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13373
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:41 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:41 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13372
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:41 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:45 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13373
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:45 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:46 +0900] "GET /Model1MiniProject/index.jsp?main=shop/shopList.jsp HTTP/1.1" 200 13372
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:16:46 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
